any;municipi;concepte;sexe;estat;valor
2021;Abella de la Conca;proporció sobre la població (%);homes;;51,43
2021;Abella de la Conca;proporció sobre la població (%);dones;;48,57
2021;Abella de la Conca;proporció sobre la població (%);total;;100,00
2021;Abella de la Conca;proporció de població de 0 a 15 anys (%);homes;;10,00
2021;Abella de la Conca;proporció de població de 0 a 15 anys (%);dones;;10,59
2021;Abella de la Conca;proporció de població de 0 a 15 anys (%);total;;10,29
2021;Abella de la Conca;proporció de població de 16 a 64 anys (%);homes;;65,56
2021;Abella de la Conca;proporció de població de 16 a 64 anys (%);dones;;62,35
2021;Abella de la Conca;proporció de població de 16 a 64 anys (%);total;;64,00
2021;Abella de la Conca;proporció de població de 65 anys o més (%);homes;;24,44
2021;Abella de la Conca;proporció de població de 65 anys o més (%);dones;;27,06
2021;Abella de la Conca;proporció de població de 65 anys o més (%);total;;25,71
2021;Abella de la Conca;edat mitjana;homes;;50,22
2021;Abella de la Conca;edat mitjana;dones;;47,17
2021;Abella de la Conca;edat mitjana;total;;48,74
2021;Abella de la Conca;edat mediana;homes;;52,0
2021;Abella de la Conca;edat mediana;dones;;47,9
2021;Abella de la Conca;edat mediana;total;;50,3
2021;Abrera;proporció sobre la població (%);homes;;50,50
2021;Abrera;proporció sobre la població (%);dones;;49,50
2021;Abrera;proporció sobre la població (%);total;;100,00
2021;Abrera;proporció de població de 0 a 15 anys (%);homes;;18,87
2021;Abrera;proporció de població de 0 a 15 anys (%);dones;;17,92
2021;Abrera;proporció de població de 0 a 15 anys (%);total;;18,40
2021;Abrera;proporció de població de 16 a 64 anys (%);homes;;66,89
2021;Abrera;proporció de població de 16 a 64 anys (%);dones;;64,92
2021;Abrera;proporció de població de 16 a 64 anys (%);total;;65,91
2021;Abrera;proporció de població de 65 anys o més (%);homes;;14,24
2021;Abrera;proporció de població de 65 anys o més (%);dones;;17,16
2021;Abrera;proporció de població de 65 anys o més (%);total;;15,68
2021;Abrera;edat mitjana;homes;;40,41
2021;Abrera;edat mitjana;dones;;41,82
2021;Abrera;edat mitjana;total;;41,11
2021;Abrera;edat mediana;homes;;42,8
2021;Abrera;edat mediana;dones;;43,3
2021;Abrera;edat mediana;total;;43,0
2021;Àger;proporció sobre la població (%);homes;;54,51
2021;Àger;proporció sobre la població (%);dones;;45,49
2021;Àger;proporció sobre la població (%);total;;100,00
