municipi;edat mediana;edat mitjana;proporció de població de 0 a 15 anys (%);proporció de població de 16 a 64 anys (%);proporció de població de 65 anys o més (%);proporció sobre la població (%);Índex socioeconòmic territorial;estrangers de països de renda baixa o mitjana (%);població amb estudis baixos (%);població jove sense estudis postobligatoris (%);població ocupada (%);renda mitjana per persona (€);treballadors de baixa qualificació (%);discapacitats_total
Altafulla;44.86666666666667;42.861111111111114;17.86888888888889;63.272222222222226;18.855555555555554;66.66666666666667;109.89999999999999;7.528571428571429;10.25;22.125;63.24285714285714;15436.285714285714;6.457142857142857;
Constantí;41.04444444444445;39.849999999999994;19.793333333333333;65.25555555555555;14.950000000000001;66.66666666666667;79.18571428571428;17.742857142857144;20.3;48.575;55.92857142857143;9930.57142857143;18.04285714285714;
Creixell;46.833333333333336;45.458888888888886;15.42888888888889;60.78;23.79222222222222;66.66666666666667;86.8;11.742857142857144;19.45;39.4;55.15714285714286;11639.857142857143;14.328571428571427;
Perafort;41.37777777777777;39.35888888888889;19.314444444444447;68.50777777777779;12.178888888888888;66.66666666666667;112.21428571428571;5.028571428571429;8.75;25.5;73.72857142857143;13560.57142857143;8.9;
Renau;41.84444444444445;38.638888888888886;22.336666666666666;68.28222222222222;9.382222222222222;66.66666666666667;120.89999999999999;2.8857142857142857;1.95;;63.94285714285714;14310.142857142857;;
Roda de Berà;45.48888888888889;44.212222222222216;15.804444444444446;62.721111111111114;21.473333333333333;66.66666666666667;90.75714285714285;9.200000000000001;18.1;42.25;59.51428571428572;11924.142857142857;13.457142857142857;
Salomó;43.91111111111111;43.56111111111111;17.17111111111111;62.49444444444445;20.334444444444443;66.66666666666667;84.77142857142857;22.25714285714286;19.3;37.5;65.21428571428571;11010.285714285714;;
Salou;42.111111111111114;41.007777777777775;16.227777777777778;69.91777777777777;13.852222222222222;66.66666666666667;87.32857142857142;26.385714285714283;13.475;36.525;52.87142857142857;11178.57142857143;10.228571428571428;129
Tarragona;43.72222222222222;42.86666666666667;15.864444444444445;65.18333333333334;18.952222222222222;66.66666666666667;96.32857142857142;14.971428571428573;14.525;31.200000000000003;58.642857142857146;13343.714285714286;11.157142857142857;14.383
Torredembarra;45.06666666666667;43.913333333333334;15.404444444444444;64.2911111111111;20.304444444444446;66.66666666666667;93.58571428571429;13.314285714285715;14.875;33.925;58.199999999999996;11694.285714285714;12.771428571428572;
Vespella de Gaià;47.8;45.79222222222222;16.01222222222222;60.43777777777777;23.552222222222223;66.66666666666667;94.94285714285715;3.8000000000000003;12.05;;55.41428571428571;11690.142857142857;;
Vila-seca;41.544444444444444;40.355555555555554;18.866666666666667;66.26;14.875555555555556;66.66666666666667;94.38571428571429;13.514285714285714;13.675;34.975;61.614285714285714;11421.42857142857;12.271428571428572;3.856
Vilallonga del Camp;40.46666666666667;39.25111111111111;21.736666666666665;63.67333333333334;14.591111111111111;66.66666666666667;103.07142857142857;10.12857142857143;10.875;29.65;69.68571428571428;12226.42857142857;11.485714285714286;
