any;municipi;concepte;estat;valor
2015;Abella de la Conca;població ocupada (%);;59,5
2015;Abella de la Conca;treballadors de baixa qualificació (%);..;null
2015;Abella de la Conca;població amb estudis baixos (%);..;null
2015;Abella de la Conca;població jove sense estudis postobligatoris (%);..;null
2015;Abella de la Conca;estrangers de països de renda baixa o mitjana (%);;3,5
2015;Abella de la Conca;renda mitjana per persona (€);;9072
2015;Abrera;població ocupada (%);;66,0
2015;Abrera;treballadors de baixa qualificació (%);;11,6
2015;Abrera;població amb estudis baixos (%);..;null
2015;Abrera;població jove sense estudis postobligatoris (%);..;null
2015;Abrera;estrangers de països de renda baixa o mitjana (%);;5,4
2015;Abrera;renda mitjana per persona (€);;12377
2015;Àger;població ocupada (%);;64,6
2015;Àger;treballadors de baixa qualificació (%);..;null
2015;Àger;població amb estudis baixos (%);..;null
2015;Àger;població jove sense estudis postobligatoris (%);..;null
2015;Àger;estrangers de països de renda baixa o mitjana (%);;8,0
2015;Àger;renda mitjana per persona (€);;11412
2015;Agramunt;població ocupada (%);;64,4
2015;Agramunt;treballadors de baixa qualificació (%);;20,7
2015;Agramunt;població amb estudis baixos (%);..;null
2015;Agramunt;població jove sense estudis postobligatoris (%);..;null
2015;Agramunt;estrangers de països de renda baixa o mitjana (%);;16,3
2015;Agramunt;renda mitjana per persona (€);;10796
2015;Aguilar de Segarra;població ocupada (%);;72,9
2015;Aguilar de Segarra;treballadors de baixa qualificació (%);..;null
2015;Aguilar de Segarra;població amb estudis baixos (%);..;null
2015;Aguilar de Segarra;població jove sense estudis postobligatoris (%);..;null
2015;Aguilar de Segarra;estrangers de països de renda baixa o mitjana (%);;0,4
2015;Aguilar de Segarra;renda mitjana per persona (€);;13097
2015;Agullana;població ocupada (%);;62,4
2015;Agullana;treballadors de baixa qualificació (%);..;null
2015;Agullana;població amb estudis baixos (%);..;null
2015;Agullana;població jove sense estudis postobligatoris (%);..;null
2015;Agullana;estrangers de països de renda baixa o mitjana (%);;8,3
2015;Agullana;renda mitjana per persona (€);;12731
2015;Aiguafreda;població ocupada (%);;64,3
2015;Aiguafreda;treballadors de baixa qualificació (%);;12,6
2015;Aiguafreda;població amb estudis baixos (%);..;null
2015;Aiguafreda;població jove sense estudis postobligatoris (%);..;null
2015;Aiguafreda;estrangers de països de renda baixa o mitjana (%);;3,8
2015;Aiguafreda;renda mitjana per persona (€);;12839
2015;Aiguamúrcia;població ocupada (%);;56,2
2015;Aiguamúrcia;treballadors de baixa qualificació (%);..;null
2015;Aiguamúrcia;població amb estudis baixos (%);..;null
2015;Aiguamúrcia;població jove sense estudis postobligatoris (%);..;null
2015;Aiguamúrcia;estrangers de països de renda baixa o mitjana (%);;6,3
2015;Aiguamúrcia;renda mitjana per persona (€);;10367
2015;Aiguaviva;població ocupada (%);;71,8
2015;Aiguaviva;treballadors de baixa qualificació (%);..;null
2015;Aiguaviva;població amb estudis baixos (%);..;null
2015;Aiguaviva;població jove sense estudis postobligatoris (%);..;null
2015;Aiguaviva;estrangers de països de renda baixa o mitjana (%);;2,8
2015;Aiguaviva;renda mitjana per persona (€);;14707
2015;Aitona;població ocupada (%);;65,5
2015;Aitona;treballadors de baixa qualificació (%);;30,5
2015;Aitona;població amb estudis baixos (%);..;null
2015;Aitona;població jove sense estudis postobligatoris (%);..;null
2015;Aitona;estrangers de països de renda baixa o mitjana (%);;26,7
2015;Aitona;renda mitjana per persona (€);;9310
2015;Alamús, els;població ocupada (%);;69,1
2015;Alamús, els;treballadors de baixa qualificació (%);..;null
2015;Alamús, els;població amb estudis baixos (%);..;null
2015;Alamús, els;població jove sense estudis postobligatoris (%);..;null
2015;Alamús, els;estrangers de països de renda baixa o mitjana (%);;11,7
2015;Alamús, els;renda mitjana per persona (€);;11375
2015;Alàs i Cerc;població ocupada (%);;51,8
2015;Alàs i Cerc;treballadors de baixa qualificació (%);..;null
2015;Alàs i Cerc;població amb estudis baixos (%);..;null
2015;Alàs i Cerc;població jove sense estudis postobligatoris (%);..;null
2015;Alàs i Cerc;estrangers de països de renda baixa o mitjana (%);;3,7
2015;Alàs i Cerc;renda mitjana per persona (€);;11007
2015;Albagés, l';població ocupada (%);;65,0
2015;Albagés, l';treballadors de baixa qualificació (%);..;null
2015;Albagés, l';població amb estudis baixos (%);..;null
2015;Albagés, l';població jove sense estudis postobligatoris (%);..;null
2015;Albagés, l';estrangers de països de renda baixa o mitjana (%);;2,9
2015;Albagés, l';renda mitjana per persona (€);;9077
2015;Albanyà;població ocupada (%);;47,7
2015;Albanyà;treballadors de baixa qualificació (%);..;null
2015;Albanyà;població amb estudis baixos (%);..;null
2015;Albanyà;població jove sense estudis postobligatoris (%);..;null
